!MOLECULE
CO
!MOLECULAR WEIGHT
28.0
!NUMBER OF ENERGY LEVELS
6
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
    1     0.0000    1.0     0
    2     3.8450    3.0     1
    3    11.5350    5.0     2
    4    23.0695    7.0     3
    5    38.4481    9.0     4
    6    57.6704   11.0     5
!NUMBER OF RADIATIVE TRANSITIONS
5
!TRANS + UP + LOW + EINSTEINA(s^-1) + FREQ(GHz) + E_u(K)
    1     2     1   7.203e-08     115.2712018      5.53
    2     3     2   6.910e-07     230.5380000     16.60
    3     4     3   2.497e-06     345.7959899     33.19
    4     5     4   6.126e-06     461.0407682     55.32
    5     6     5   1.221e-05     576.2679305     82.97
!NUMBER OF COLL PARTNERS
2
!COLLISIONS BETWEEN
1 CO-H2 from Green and Thaddeus (1976)
!NUMBER OF COLL TRANS
15
!NUMBER OF COLL TEMPS
7
!COLL TEMPS
    5.0   10.0   20.0   40.0   60.0   80.0  100.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
    1     2     1  0.0868e-10 0.1757e-10 0.2793e-10 0.3449e-10 0.3629e-10 0.3694e-10 0.3725e-10
    2     3     1  0.2793e-10 0.2764e-10 0.2969e-10 0.3334e-10 0.3610e-10 0.3825e-10 0.4007e-10
    3     3     2  0.1748e-10 0.3508e-10 0.4845e-10 0.5370e-10 0.5511e-10 0.5611e-10 0.5708e-10
    4     4     1  0.0234e-10 0.0439e-10 0.0540e-10 0.0557e-10 0.0583e-10 0.0622e-10 0.0666e-10
    5     4     2  0.4327e-10 0.4796e-10 0.5161e-10 0.5602e-10 0.5949e-10 0.6267e-10 0.6586e-10
    6     4     3  0.1945e-10 0.3699e-10 0.5261e-10 0.5925e-10 0.5999e-10 0.6015e-10 0.6046e-10
    7     5     1  0.0238e-10 0.0262e-10 0.0323e-10 0.0400e-10 0.0465e-10 0.0522e-10 0.0573e-10
    8     5     2  0.0331e-10 0.0541e-10 0.0780e-10 0.0932e-10 0.1067e-10 0.1244e-10 0.1447e-10
    9     5     3  0.6761e-10 0.6041e-10 0.6098e-10 0.6571e-10 0.6905e-10 0.7172e-10 0.7414e-10
   10     5     4  0.3230e-10 0.3724e-10 0.4756e-10 0.5740e-10 0.6318e-10 0.6844e-10 0.7366e-10
   11     6     1  0.0026e-10 0.0040e-10 0.0062e-10 0.0100e-10 0.0156e-10 0.0233e-10 0.0321e-10
   12     6     2  0.0553e-10 0.0579e-10 0.0668e-10 0.0840e-10 0.1009e-10 0.1184e-10 0.1355e-10
   13     6     3  0.0409e-10 0.0545e-10 0.0802e-10 0.1216e-10 0.1646e-10 0.2134e-10 0.2653e-10
   14     6     4  0.6845e-10 0.6818e-10 0.7189e-10 0.7797e-10 0.8211e-10 0.8571e-10 0.8902e-10
   15     6     5  0.1983e-10 0.2601e-10 0.3749e-10 0.5249e-10 0.6356e-10 0.7374e-10 0.8344e-10
!COLLISIONS BETWEEN
6 CO-He from Green and Thaddeus (1976)
!NUMBER OF COLL TRANS
15
!NUMBER OF COLL TEMPS
7
!COLL TEMPS
    5.0   10.0   20.0   40.0   60.0   80.0  100.0
!TRANS + UP + LOW + COLLRATES(cm^3 s^-1)
    1     2     1  0.2679e-10 0.2822e-10 0.2596e-10 0.2276e-10 0.2107e-10 0.1999e-10 0.1922e-10
    2     3     1  0.3094e-10 0.3032e-10 0.2854e-10 0.2650e-10 0.2548e-10 0.2497e-10 0.2476e-10
    3     3     2  0.3635e-10 0.3824e-10 0.0366e-10 0.3387e-10 0.3259e-10 0.3196e-10 0.3162e-10
    4     4     1  0.0275e-10 0.0343e-10 0.0379e-10 0.0421e-10 0.0461e-10 0.0497e-10 0.0527e-10
    5     4     2  0.6001e-10 0.5438e-10 0.4915e-10 0.4462e-10 0.4249e-10 0.4156e-10 0.4131e-10
    6     4     3  0.2618e-10 0.3266e-10 0.3373e-10 0.3310e-10 0.3289e-10 0.3303e-10 0.3335e-10
    7     5     1  0.0456e-10 0.0450e-10 0.0454e-10 0.0461e-10 0.0471e-10 0.0489e-10 0.0515e-10
    8     5     2  0.0531e-10 0.0619e-10 0.0719e-10 0.0825e-10 0.0908e-10 0.0977e-10 0.1033e-10
    9     5     3  0.6338e-10 0.6051e-10 0.5692e-10 0.5234e-10 0.4985e-10 0.4917e-10 0.4971e-10
   10     5     4  0.1476e-10 0.2240e-10 0.2810e-10 0.3088e-10 0.3200e-10 0.3282e-10 0.3348e-10
   11     6     1  0.0069e-10 0.0085e-10 0.0107e-10 0.0141e-10 0.0179e-10 0.0215e-10 0.0249e-10
   12     6     2  0.0828e-10 0.0922e-10 0.0963e-10 0.0963e-10 0.0962e-10 0.0968e-10 0.0979e-10
   13     6     3  0.0824e-10 0.0989e-10 0.1119e-10 0.1224e-10 0.1339e-10 0.1471e-10 0.1605e-10
   14     6     4  0.5928e-10 0.6516e-10 0.6436e-10 0.5897e-10 0.5552e-10 0.5373e-10 0.5293e-10
   15     6     5  0.1508e-10 0.2190e-10 0.2811e-10 0.3120e-10 0.3303e-10 0.3527e-10 0.3777e-10
!NOTES:
!Energy levels, transition frequencies and Einstein A coefficients taken from CDMS
